5|5
1.3429345963226214 7.684097308380951 9.062995820899655 9.378971130523915 3.3030243102679946|3.3030243102679946 9.378971130523915 9.062995820899655 7.684097308380951 1.3429345963226214
8.96890937499987 2.44843828563156 3.87414055752204 6.454717738964712 8.388149310742257|8.388149310742257 6.454717738964712 3.87414055752204 2.44843828563156 8.96890937499987
0.5074510561244905 5.842909284022984 2.6872674304719704 6.8002103488231205 7.3070582204493935|7.3070582204493935 6.8002103488231205 2.6872674304719704 5.842909284022984 0.5074510561244905
6.658237236930601 2.39697284675127 3.5193351071424104 4.07358458792217 5.676593304190252|5.676593304190252 4.07358458792217 3.5193351071424104 2.39697284675127 6.658237236930601
7.3453402132004495 4.3229016738612565 2.261773981881415 1.834174810373399 8.115101522509157|8.115101522509157 1.834174810373399 2.261773981881415 4.3229016738612565 7.3453402132004495
8.635803830138533 6.909622108266155 9.016926665573274 2.898894599215006 3.784254882638698|3.784254882638698 2.898894599215006 9.016926665573274 6.909622108266155 8.635803830138533
4.857284847974846 1.0868810961886433 3.0973310142414165 4.372326286900121 3.2216786666194217|3.2216786666194217 4.372326286900121 3.0973310142414165 1.0868810961886433 4.857284847974846
0.3327891935207816 7.966533351829459 6.385807123806325 0.4285163630998545 8.90673469368747|8.90673469368747 0.4285163630998545 6.385807123806325 7.966533351829459 0.3327891935207816
1.7484028605010182 8.37191878071987 3.084232870322372 3.816465064394147 7.0529596551606915|7.0529596551606915 3.816465064394147 3.084232870322372 8.37191878071987 1.7484028605010182
0.5270121331401301 9.132833658322921 0.4704930686069897 6.880466304491035 0.3533646892383979|0.3533646892383979 6.880466304491035 0.4704930686069897 9.132833658322921 0.5270121331401301
7.814989513292048 7.259842395855351 8.795142674861708 2.614005406354236 8.08169882908723|8.08169882908723 2.614005406354236 8.795142674861708 7.259842395855351 7.814989513292048
4.3759211542490695 8.059131020259521 0.477733754186932 3.643709355453667 0.7395440966360189|0.7395440966360189 3.643709355453667 0.477733754186932 8.059131020259521 4.3759211542490695
0.37118670104355544 0.28232822037919103 7.745092464235537 9.69484599817794 3.42887142221596|3.42887142221596 9.69484599817794 7.745092464235537 0.28232822037919103 0.37118670104355544
0.6823888472959883 0.08374888176028605 5.2250647758432525 9.809877474640965 3.0735631873103566|3.0735631873103566 9.809877474640965 5.2250647758432525 0.08374888176028605 0.6823888472959883
7.514071823611982 7.861894607443638 1.0786034040774373 0.28935367402041834 7.436762871292207|7.436762871292207 0.28935367402041834 1.0786034040774373 7.861894607443638 7.514071823611982
4.381022561135403 2.7617010126001897 4.151182369848611 0.9720893080956106 6.1616703359938025|6.1616703359938025 0.9720893080956106 4.151182369848611 2.7617010126001897 4.381022561135403
5.169886790572207 8.357524517093955 0.5545102497411081 5.6534126437152965 0.49628938310973036|0.49628938310973036 5.6534126437152965 0.5545102497411081 8.357524517093955 5.169886790572207
9.02387791711087 4.197754999081043 7.031220782749506 1.1858425693105246 2.4614185450061377|2.4614185450061377 1.1858425693105246 7.031220782749506 4.197754999081043 9.02387791711087
3.008000111396798 3.649012229128319 2.1804425240265415 1.0163840864758567 0.6670964466386753|0.6670964466386753 1.0163840864758567 2.1804425240265415 3.649012229128319 3.008000111396798
0.0360271729878614 7.94580946028444 2.2100278591352063 4.085022440472972 1.9448278151913212|1.9448278151913212 4.085022440472972 2.2100278591352063 7.94580946028444 0.0360271729878614
7.758834550347046 8.458572163321977 4.686960904947392 9.988099672371968 0.017565326953852267|0.017565326953852267 9.988099672371968 4.686960904947392 8.458572163321977 7.758834550347046
0.47200592423759624 9.879360570188233 1.2197130766247033 6.497504398874813 1.2329441477431746|1.2329441477431746 6.497504398874813 1.2197130766247033 9.879360570188233 0.47200592423759624
9.016594174144481 8.089381489625563 8.058511648755566 2.3152370804140467 6.980506865270145|6.980506865270145 2.3152370804140467 8.058511648755566 8.089381489625563 9.016594174144481
0.8829433665539432 1.9085238746893807 6.709655681050749 4.066692126519107 3.3176845322806603|3.3176845322806603 4.066692126519107 6.709655681050749 1.9085238746893807 0.8829433665539432
4.161861555529411 6.579886559902478 6.390662057390987 3.5506562632872196 8.02788822264828|8.02788822264828 3.5506562632872196 6.390662057390987 6.579886559902478 4.161861555529411
1.8056785814623677 6.900351514983734 7.787010011502325 7.513739326159422 4.466838385896161|4.466838385896161 7.513739326159422 7.787010011502325 6.900351514983734 1.8056785814623677
8.87639543878668 3.3273354198414964 3.337732927448757 0.21457374082673897 8.537646899867347|8.537646899867347 0.21457374082673897 3.337732927448757 3.3273354198414964 8.87639543878668
8.94591858213447 9.91744488049536 3.6797981286660897 9.962396142510608 6.509898052357826|6.509898052357826 9.962396142510608 3.6797981286660897 9.91744488049536 8.94591858213447
6.528293549296535 8.88051227531933 6.705571787744641 7.9051987745990075 8.809576383312487|8.809576383312487 7.9051987745990075 6.705571787744641 8.88051227531933 6.528293549296535
0.6853050214873635 7.264574191944684 3.6793846176993803 0.8443167049891309 2.8322995713452768|2.8322995713452768 0.8443167049891309 3.6793846176993803 7.264574191944684 0.6853050214873635
7.98195472871093 6.7842567850711735 9.562749212917781 5.147687856095539 5.268380014391068|5.268380014391068 5.147687856095539 9.562749212917781 6.7842567850711735 7.98195472871093
2.614801961811144 1.977371262804879 4.405778585183548 6.803028016750499 1.8370292143094913|1.8370292143094913 6.803028016750499 4.405778585183548 1.977371262804879 2.614801961811144
0.3240590026489898 5.972826713775183 8.942826060180337 7.590633551520449 2.856727111138324|2.856727111138324 7.590633551520449 8.942826060180337 5.972826713775183 0.3240590026489898
6.706334598447674 0.7693553654391438 8.819094702108558 5.012703392603074 7.655937081485725|7.655937081485725 5.012703392603074 8.819094702108558 0.7693553654391438 6.706334598447674
6.214039306887516 8.639712001038912 7.0697528621391745 3.798423137195901 2.203402143722115|2.203402143722115 3.798423137195901 7.0697528621391745 8.639712001038912 6.214039306887516
7.57705868214198 2.95142993046535 3.822495043268439 8.530630616966357 6.414217194664685|6.414217194664685 8.530630616966357 3.822495043268439 2.95142993046535 7.57705868214198
3.858919803214161 1.0140908584652342 2.735569955490388 1.320191963165056 1.3098399549209405|1.3098399549209405 1.320191963165056 2.735569955490388 1.0140908584652342 3.858919803214161
7.047298604607736 4.02847245403844 7.373869056378676 3.352812442581097 1.9281319190020707|1.9281319190020707 3.352812442581097 7.373869056378676 4.02847245403844 7.047298604607736
7.951153015799589 4.44635129740353 7.195475934959138 0.16588078037900744 1.7626636657878514|1.7626636657878514 0.16588078037900744 7.195475934959138 4.44635129740353 7.951153015799589
7.464303061741755 2.9214940208157714 6.5360015937259694 0.39565347305012044 8.00353439073647|8.00353439073647 0.39565347305012044 6.5360015937259694 2.9214940208157714 7.464303061741755
0.6166526885760859 5.535809097505079 6.991597883583548 8.769179263542785 1.2601447034824975|1.2601447034824975 8.769179263542785 6.991597883583548 5.535809097505079 0.6166526885760859
1.2477110815704429 7.250923016522723 5.159501819380442 5.329567792828138 7.798683074304935|7.798683074304935 5.329567792828138 5.159501819380442 7.250923016522723 1.2477110815704429
1.287004197032896 4.068501031468043 9.071100590267417 0.6664661853941278 0.263080253760376|0.263080253760376 0.6664661853941278 9.071100590267417 4.068501031468043 1.287004197032896
5.937924973310689 5.984993135415538 9.904157748882183 0.3091162682745907 0.2575868006048787|0.2575868006048787 0.3091162682745907 9.904157748882183 5.984993135415538 5.937924973310689
5.089136154879083 1.3864677006788606 0.30839976597586305 8.896246294761307 4.2622677347595825|4.2622677347595825 8.896246294761307 0.30839976597586305 1.3864677006788606 5.089136154879083
9.23534003156007 7.2166046245940185 3.608241293796104 5.889389941217605 2.474524210868557|2.474524210868557 5.889389941217605 3.608241293796104 7.2166046245940185 9.23534003156007
1.552804837165196 2.263852408928977 8.969684789809223 4.876464837186784 4.76241615098818|4.76241615098818 4.876464837186784 8.969684789809223 2.263852408928977 1.552804837165196
3.744269796767928 1.4867791269198938 8.5012363491078 5.186016963520414 4.901583811765891|4.901583811765891 5.186016963520414 8.5012363491078 1.4867791269198938 3.744269796767928
0.19007017070607923 2.070048656954949 9.607337970146473 0.908162464385216 3.6301317873626426|3.6301317873626426 0.908162464385216 9.607337970146473 2.070048656954949 0.19007017070607923
2.2538335202222894 4.463525592440405 6.591340027760366 7.2720892777863035 4.2677837288413665|4.2677837288413665 7.2720892777863035 6.591340027760366 4.463525592440405 2.2538335202222894
0.644387263213968 0.41637466969705716 3.33691081084278 1.2410350340407783 7.063293968563639|7.063293968563639 1.2410350340407783 3.33691081084278 0.41637466969705716 0.644387263213968
4.34930959560284 2.024753640341548 7.86860322263443 2.840474134302291 3.042047010035672|3.042047010035672 2.840474134302291 7.86860322263443 2.024753640341548 4.34930959560284
9.386371071895493 6.567707925346353 4.735797677288399 3.725438380570046 4.053416269051314|4.053416269051314 3.725438380570046 4.735797677288399 6.567707925346353 9.386371071895493
1.03797479006981 3.5036887121647595 0.9934660333633472 3.855480782505283 5.394480609934975|5.394480609934975 3.855480782505283 0.9934660333633472 3.5036887121647595 1.03797479006981
8.20238953384055 9.613506507348244 5.146351434734024 1.6926729630473991 0.2562446379437344|0.2562446379437344 1.6926729630473991 5.146351434734024 9.613506507348244 8.20238953384055
5.888700610885738 6.597364573453123 5.193778359882564 0.22942969388014656 7.909775649069796|7.909775649069796 0.22942969388014656 5.193778359882564 6.597364573453123 5.888700610885738
7.031447462638251 3.088947447473065 1.6463297337262306 9.430343400590818 4.447489648557616|4.447489648557616 9.430343400590818 1.6463297337262306 3.088947447473065 7.031447462638251
2.5496539040374513 6.696893576248225 0.6663185591769671 7.786875551933418 0.10646293344742652|0.10646293344742652 7.786875551933418 0.6663185591769671 6.696893576248225 2.5496539040374513
4.565158017242349 2.105401793102104 6.299004412217829 9.784023203536087 3.322709671029341|3.322709671029341 9.784023203536087 6.299004412217829 2.105401793102104 4.565158017242349
9.853003720764411 2.0903889154035795 5.636677485839865 1.4048947004285495 2.110664247859834|2.110664247859834 1.4048947004285495 5.636677485839865 2.0903889154035795 9.853003720764411
1.9390992009021113 3.505313999684706 0.8030989589597259 8.38457071476858 2.3316934760298604|2.3316934760298604 8.38457071476858 0.8030989589597259 3.505313999684706 1.9390992009021113
3.2236029367932098 5.528295089802593 6.907424600004263 0.48947813033825893 8.638756105921077|8.638756105921077 0.48947813033825893 6.907424600004263 5.528295089802593 3.2236029367932098
2.0957780382295566 7.19633551929331 9.563791008941768 1.7354845646715689 8.161150381543457|8.161150381543457 1.7354845646715689 9.563791008941768 7.19633551929331 2.0957780382295566
0.5599356953661361 7.742264337192186 1.7254710903972614 6.0751829381358124 3.654547375910766|3.654547375910766 6.0751829381358124 1.7254710903972614 7.742264337192186 0.5599356953661361
3.079039623486046 0.9190931906957711 2.647881299099856 4.877681996945973 3.98463203865685|3.98463203865685 4.877681996945973 2.647881299099856 0.9190931906957711 3.079039623486046
0.5787299918859878 7.020674336766236 2.770529786792358 7.2930546577377955 8.505519919654116|8.505519919654116 7.2930546577377955 2.770529786792358 7.020674336766236 0.5787299918859878
0.8085758259092146 1.6634695164602131 0.34737163906752744 0.876223710310885 0.3502606487951543|0.3502606487951543 0.876223710310885 0.34737163906752744 1.6634695164602131 0.8085758259092146
8.401147276559037 7.137469576307604 6.9511581208171505 6.018191554203856 7.437949015086032|7.437949015086032 6.018191554203856 6.9511581208171505 7.137469576307604 8.401147276559037
9.91236912868899 2.678489060318837 2.738966915872995 7.8252817496478215 0.009125698177017139|0.009125698177017139 7.8252817496478215 2.738966915872995 2.678489060318837 9.91236912868899
8.881480112494494 5.522372046046396 6.447381182625817 5.624450064255692 7.352237484117837|7.352237484117837 5.624450064255692 6.447381182625817 5.522372046046396 8.881480112494494
2.619980933053243 4.9096345836674296 7.425239284206424 3.4089633208865653 7.13651552438575|7.13651552438575 3.4089633208865653 7.425239284206424 4.9096345836674296 2.619980933053243
7.801668908526766 6.627388637794278 1.850961060765507 2.5529350754235924 2.904321537967254|2.904321537967254 2.5529350754235924 1.850961060765507 6.627388637794278 7.801668908526766
3.522376251333471 1.783938023170869 5.451128190823681 2.249330723262537 0.8742483915332278|0.8742483915332278 2.249330723262537 5.451128190823681 1.783938023170869 3.522376251333471
9.988215883806236 9.681793604702774 4.978767918975898 9.080565950629893 5.205614550143183|5.205614550143183 9.080565950629893 4.978767918975898 9.681793604702774 9.988215883806236
6.391406215004112 4.882176368301218 1.1337839513042536 3.47987930746964 2.7467605270191697|2.7467605270191697 3.47987930746964 1.1337839513042536 4.882176368301218 6.391406215004112
5.667149585966484 1.8528871144385628 9.950121086604163 5.83273617245185 2.1205060658672457|2.1205060658672457 5.83273617245185 9.950121086604163 1.8528871144385628 5.667149585966484
9.324380178711946 4.200496506235157 1.144612674406077 3.8162557003360376 6.103814630544942|6.103814630544942 3.8162557003360376 1.144612674406077 4.200496506235157 9.324380178711946
3.4538404086615326 2.1986534782175307 6.779350099077437 2.3784967041256833 5.692564351990849|5.692564351990849 2.3784967041256833 6.779350099077437 2.1986534782175307 3.4538404086615326
7.709395421040145 4.8409723289083715 6.867371579197307 0.6820975802890983 4.3888432785430815|4.3888432785430815 0.6820975802890983 6.867371579197307 4.8409723289083715 7.709395421040145
9.378686863698725 0.8249214448830211 6.965872956219491 9.147041099372789 7.082286994189083|7.082286994189083 9.147041099372789 6.965872956219491 0.8249214448830211 9.378686863698725
7.439062922780428 7.675795414811342 8.569013181448726 5.604071729394564 3.3220691425344064|3.3220691425344064 5.604071729394564 8.569013181448726 7.675795414811342 7.439062922780428
7.513837499634704 1.790966160663341 3.8232281040715312 1.1216289530488521 4.743204337401618|4.743204337401618 1.1216289530488521 3.8232281040715312 1.790966160663341 7.513837499634704
2.2495647404717403 9.854974513585345 7.323700360818657 7.63537910192562 1.0221450588116554|1.0221450588116554 7.63537910192562 7.323700360818657 9.854974513585345 2.2495647404717403
9.50270995806252 5.399883217718198 0.315693565487396 9.076116494387284 7.540744514655082|7.540744514655082 9.076116494387284 0.315693565487396 5.399883217718198 9.50270995806252
4.747904552841073 8.563981542652273 2.703593276859367 9.409361150647808 9.729870543216265|9.729870543216265 9.409361150647808 2.703593276859367 8.563981542652273 4.747904552841073
3.0825934159342583 2.4425201989840506 3.0460666026346073 7.612737476743552 2.2089367953405024|2.2089367953405024 7.612737476743552 3.0460666026346073 2.4425201989840506 3.0825934159342583
6.587897537526203 8.669972916437112 2.939331255659269 8.294840279337908 1.8196006925453378|1.8196006925453378 8.294840279337908 2.939331255659269 8.669972916437112 6.587897537526203
7.361486430580753 1.0269196654525303 4.37787582397124 6.0221950547895435 8.104176006001541|8.104176006001541 6.0221950547895435 4.37787582397124 1.0269196654525303 7.361486430580753
8.551915972875081 0.7860912382851282 6.6893825834407785 7.122738238795428 9.318331124380945|9.318331124380945 7.122738238795428 6.6893825834407785 0.7860912382851282 8.551915972875081
3.6683609522114535 1.4123282407672366 0.5460882162744518 0.17320996496241747 8.903577525342335|8.903577525342335 0.17320996496241747 0.5460882162744518 1.4123282407672366 3.6683609522114535
6.61570959750871 6.91466696920113 3.533927000457233 0.6629709624057023 5.515734775198526|5.515734775198526 0.6629709624057023 3.533927000457233 6.91466696920113 6.61570959750871
6.004217100473702 4.524741815355221 4.961462567550585 2.358400286289241 1.647096700544951|1.647096700544951 2.358400286289241 4.961462567550585 4.524741815355221 6.004217100473702
8.581160821690338 8.931174756468259 7.844546259348652 5.801014063937597 4.677031208644075|4.677031208644075 5.801014063937597 7.844546259348652 8.931174756468259 8.581160821690338
4.1463308334060525 8.052865688488671 1.3692089045053446 2.4491397204309218 3.052396770174605|3.052396770174605 2.4491397204309218 1.3692089045053446 8.052865688488671 4.1463308334060525
2.877897528147868 4.9592324824174785 9.662144700229186 4.572710222048945 6.427429753952429|6.427429753952429 4.572710222048945 9.662144700229186 4.9592324824174785 2.877897528147868
5.437238341581077 3.824260551581029 8.735582029337742 0.2489614491937231 6.281957671627582|6.281957671627582 0.2489614491937231 8.735582029337742 3.824260551581029 5.437238341581077
3.750763805817815 8.062551451551666 9.887802651084051 9.298303243177164 2.1190596545324327|2.1190596545324327 9.298303243177164 9.887802651084051 8.062551451551666 3.750763805817815
0.5893508869317277 6.7230768547429784 1.9485704281673444 0.45445208973498796 5.658133998864191|5.658133998864191 0.45445208973498796 1.9485704281673444 6.7230768547429784 0.5893508869317277
6.825140390158837 7.6686030487040195 2.594130803506476 4.349786791646283 7.676952626213046|7.676952626213046 4.349786791646283 2.594130803506476 7.6686030487040195 6.825140390158837
7.604212747797279 6.061440700018115 7.645137414161515 1.4721691944855098 5.572682398766827|5.572682398766827 1.4721691944855098 7.645137414161515 6.061440700018115 7.604212747797279
4.2165948611500825 6.08880030936191 6.9516474945137965 7.948811506739455 9.590352615343049|9.590352615343049 7.948811506739455 6.9516474945137965 6.08880030936191 4.2165948611500825
2.5770638582897023 5.015091556512564 0.32104219969013137 3.318677876176407 7.012500451054851|7.012500451054851 3.318677876176407 0.32104219969013137 5.015091556512564 2.5770638582897023
4.086039615324121 7.4905642962727494 9.96707979548029 6.246994138204377 2.9784552053226165|2.9784552053226165 6.246994138204377 9.96707979548029 7.4905642962727494 4.086039615324121
1.500470562566153 0.6855776683225234 0.17863463652506018 0.5002103028368865 0.10974073792326178|0.10974073792326178 0.5002103028368865 0.17863463652506018 0.6855776683225234 1.500470562566153
0.6994589264485274 7.584097909353833 5.051241450401615 1.3648697940757792 3.660537992420456|3.660537992420456 1.3648697940757792 5.051241450401615 7.584097909353833 0.6994589264485274
8.237468962854901 7.038766329419202 6.791620742042339 3.511074174070008 3.350062065600883|3.350062065600883 3.511074174070008 6.791620742042339 7.038766329419202 8.237468962854901
6.782077578187057 9.041696647688807 4.393137699659313 8.14966835203018 0.9409563025541501|0.9409563025541501 8.14966835203018 4.393137699659313 9.041696647688807 6.782077578187057
5.688578786074157 7.355045648630111 1.9204911449739226 5.538920147066716 0.7716918155558283|0.7716918155558283 5.538920147066716 1.9204911449739226 7.355045648630111 5.688578786074157
2.87270995549619 6.234722334325673 9.320022622170333 7.49112924252845 7.09779428216299|7.09779428216299 7.49112924252845 9.320022622170333 6.234722334325673 2.87270995549619
6.096673217513986 6.22015254757165 3.9652996479253675 6.820461574149805 6.215744878309312|6.215744878309312 6.820461574149805 3.9652996479253675 6.22015254757165 6.096673217513986
3.7349025772407787 0.1546760078389886 7.223631955963887 0.37588935831513126 7.09488703584891|7.09488703584891 0.37588935831513126 7.223631955963887 0.1546760078389886 3.7349025772407787
0.7438254533177091 1.537426732952144 5.224424821088794 3.6793017348113253 9.00657515195276|9.00657515195276 3.6793017348113253 5.224424821088794 1.537426732952144 0.7438254533177091
8.156209751242478 7.61952843002897 5.198437030711705 7.668232826334675 4.971312374626993|4.971312374626993 7.668232826334675 5.198437030711705 7.61952843002897 8.156209751242478
0.9631867967099128 7.927695816244249 7.400965902661979 3.769343390527684 2.258739761220112|2.258739761220112 3.769343390527684 7.400965902661979 7.927695816244249 0.9631867967099128
8.146969112871892 1.3156582823761176 8.456244985045279 7.322066226773608 0.6877097986984348|0.6877097986984348 7.322066226773608 8.456244985045279 1.3156582823761176 8.146969112871892
7.8419055254385315 3.2896498767562212 6.024829689073927 5.3846751547761675 3.6274284921326694|3.6274284921326694 5.3846751547761675 6.024829689073927 3.2896498767562212 7.8419055254385315
8.988255094464687 0.11989218795851353 1.579693611119669 3.4065900029088714 7.376235004711848|7.376235004711848 3.4065900029088714 1.579693611119669 0.11989218795851353 8.988255094464687
9.021612978802322 4.648495754039405 6.432550319436157 4.35078574893973 8.908173964955187|8.908173964955187 4.35078574893973 6.432550319436157 4.648495754039405 9.021612978802322
8.457233541279365 9.761283375193992 3.46983503810241 1.8277977317776084 7.29549590064475|7.29549590064475 1.8277977317776084 3.46983503810241 9.761283375193992 8.457233541279365
3.9654935740845323 2.7080648670226513 5.287057128909329 3.5580780541832304 3.415463453860279|3.415463453860279 3.5580780541832304 5.287057128909329 2.7080648670226513 3.9654935740845323
9.682540442296938 9.482234041455463 4.444688004613742 3.2582723061920538 7.058779546759725|7.058779546759725 3.2582723061920538 4.444688004613742 9.482234041455463 9.682540442296938
8.053574323969183 8.925148318155001 7.1291327177720625 8.930199847047694 8.856594952495868|8.856594952495868 8.930199847047694 7.1291327177720625 8.925148318155001 8.053574323969183
7.072373577464903 6.867512045446523 0.6958449684865131 7.009683882921388 8.545593164074255|8.545593164074255 7.009683882921388 0.6958449684865131 6.867512045446523 7.072373577464903
2.6925010812759007 4.142783243905167 0.8941183895022109 1.8478701239956685 8.457014452151915|8.457014452151915 1.8478701239956685 0.8941183895022109 4.142783243905167 2.6925010812759007
8.872331505246702 9.945327861001298 7.237992010071412 3.87328979603647 1.7013292996660356|1.7013292996660356 3.87328979603647 7.237992010071412 9.945327861001298 8.872331505246702
9.45814100266923 5.4111835530885575 5.458693902741169 4.707838272140542 8.962541066823995|8.962541066823995 4.707838272140542 5.458693902741169 5.4111835530885575 9.45814100266923
2.3201503241742607 6.651882861098402 5.02374253698664 4.296592473066135 4.288773750905307|4.288773750905307 4.296592473066135 5.02374253698664 6.651882861098402 2.3201503241742607
7.15504084438858 3.7243190721273067 8.75910729150292 7.075204494744282 8.192467114621383|8.192467114621383 7.075204494744282 8.75910729150292 3.7243190721273067 7.15504084438858
0.3862851948977719 1.8901251579477063 9.238166067732557 0.5091128599934336 4.471751933954956|4.471751933954956 0.5091128599934336 9.238166067732557 1.8901251579477063 0.3862851948977719
2.576014456244832 8.948680006719696 6.686535897104898 0.24439646681468807 1.086800506961798|1.086800506961798 0.24439646681468807 6.686535897104898 8.948680006719696 2.576014456244832
7.747099761771059 2.453729105080696 1.9400194078765831 3.414290742015625 1.829315799870872|1.829315799870872 3.414290742015625 1.9400194078765831 2.453729105080696 7.747099761771059
8.675718750792406 1.335407469735388 9.500163776648252 5.245662758198573 6.077397742020121|6.077397742020121 5.245662758198573 9.500163776648252 1.335407469735388 8.675718750792406
